subjects	Activity	variable	Description
14	STANDING	tBodyGyroJerk-std()-Y	"Subject # 14 while STANDING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
14	STANDING	tBodyGyroJerk-std()-Z	"Subject # 14 while STANDING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
14	STANDING	tBodyAccMag-mean()	"Subject # 14 while STANDING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
14	STANDING	tBodyAccMag-std()	"Subject # 14 while STANDING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
14	STANDING	tGravityAccMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
14	STANDING	tGravityAccMag-std()	"Subject # 14 while STANDING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
14	STANDING	tBodyAccJerkMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
14	STANDING	tBodyAccJerkMag-std()	"Subject # 14 while STANDING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
14	STANDING	tBodyGyroMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of body angular velocity in (time domain)"
14	STANDING	tBodyGyroMag-std()	"Subject # 14 while STANDING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
14	STANDING	tBodyGyroJerkMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
14	STANDING	tBodyGyroJerkMag-std()	"Subject # 14 while STANDING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
14	STANDING	fBodyAcc-mean()-X	"Subject # 14 while STANDING,Mean of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
14	STANDING	fBodyAcc-mean()-Y	"Subject # 14 while STANDING,Mean of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
14	STANDING	fBodyAcc-mean()-Z	"Subject # 14 while STANDING,Mean of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
14	STANDING	fBodyAcc-std()-X	"Subject # 14 while STANDING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
14	STANDING	fBodyAcc-std()-Y	"Subject # 14 while STANDING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
14	STANDING	fBodyAcc-std()-Z	"Subject # 14 while STANDING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
14	STANDING	fBodyAccJerk-mean()-X	"Subject # 14 while STANDING,Mean of body angular velocity for x- axis in (frequency domain)"
14	STANDING	fBodyAccJerk-mean()-Y	"Subject # 14 while STANDING,Mean of body angular velocity for y- axis in (frequency domain)"
14	STANDING	fBodyAccJerk-mean()-Z	"Subject # 14 while STANDING,Mean of body angular velocity for z- axis in (frequency domain)"
14	STANDING	fBodyAccJerk-std()-X	"Subject # 14 while STANDING,Standard deviation of body angular velocity for x- axis in (frequency domain)"
14	STANDING	fBodyAccJerk-std()-Y	"Subject # 14 while STANDING,Standard deviation of body angular velocity for y- axis in (frequency domain)"
14	STANDING	fBodyAccJerk-std()-Z	"Subject # 14 while STANDING,Standard deviation of body angular velocity for z- axis in (frequency domain)"
14	STANDING	fBodyGyro-mean()-X	"Subject # 14 while STANDING,Mean of the  body angular velocity Jerk for X- axis in (frequency domain)"
14	STANDING	fBodyGyro-mean()-Y	"Subject # 14 while STANDING,Mean of the  body angular velocity Jerk for Y- axis in (frequency domain)"
14	STANDING	fBodyGyro-mean()-Z	"Subject # 14 while STANDING,Mean of the  body angular velocity Jerk for Z- axis in (frequency domain)"
14	STANDING	fBodyGyro-std()-X	"Subject # 14 while STANDING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (frequency domain)"
14	STANDING	fBodyGyro-std()-Y	"Subject # 14 while STANDING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (frequency domain)"
14	STANDING	fBodyGyro-std()-Z	"Subject # 14 while STANDING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (frequency domain)"
14	STANDING	fBodyAccMag-mean()	"Subject # 14 while STANDING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
14	STANDING	fBodyAccMag-std()	"Subject # 14 while STANDING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
14	STANDING	fBodyBodyAccJerkMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
14	STANDING	fBodyBodyAccJerkMag-std()	"Subject # 14 while STANDING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
14	STANDING	fBodyBodyGyroMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of Body kerk acceleration in (frequency domain)"
14	STANDING	fBodyBodyGyroMag-std()	"Subject # 14 while STANDING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (frequency domain)"
14	STANDING	fBodyBodyGyroJerkMag-mean()	"Subject # 14 while STANDING,Mean of magnitute of measurements of body angular velocity in (frequency domain)"
14	STANDING	fBodyBodyGyroJerkMag-std()	"Subject # 14 while STANDING,Standard deviation of magnitute of measurements of body angular velocity in (frequency domain)"
14	LAYING	tBodyAcc-mean()-X	"Subject # 14 while LAYING,Mean of measurements of Body acceleration for  X axis  in (time domain)"
14	LAYING	tBodyAcc-mean()-Y	"Subject # 14 while LAYING,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
14	LAYING	tBodyAcc-mean()-Z	"Subject # 14 while LAYING,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
14	LAYING	tBodyAcc-std()-X	"Subject # 14 while LAYING,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
14	LAYING	tBodyAcc-std()-Y	"Subject # 14 while LAYING,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
14	LAYING	tBodyAcc-std()-Z	"Subject # 14 while LAYING,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
14	LAYING	tGravityAcc-mean()-X	"Subject # 14 while LAYING,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
14	LAYING	tGravityAcc-mean()-Y	"Subject # 14 while LAYING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
14	LAYING	tGravityAcc-mean()-Z	"Subject # 14 while LAYING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
14	LAYING	tGravityAcc-std()-X	"Subject # 14 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
14	LAYING	tGravityAcc-std()-Y	"Subject # 14 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
14	LAYING	tGravityAcc-std()-Z	"Subject # 14 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
14	LAYING	tBodyAccJerk-mean()-X	"Subject # 14 while LAYING,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
14	LAYING	tBodyAccJerk-mean()-Y	"Subject # 14 while LAYING,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
14	LAYING	tBodyAccJerk-mean()-Z	"Subject # 14 while LAYING,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
14	LAYING	tBodyAccJerk-std()-X	"Subject # 14 while LAYING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
14	LAYING	tBodyAccJerk-std()-Y	"Subject # 14 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
14	LAYING	tBodyAccJerk-std()-Z	"Subject # 14 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
14	LAYING	tBodyGyro-mean()-X	"Subject # 14 while LAYING,Mean of body angular velocity for x- axis in (time domain)"
14	LAYING	tBodyGyro-mean()-Y	"Subject # 14 while LAYING,Mean of body angular velocity for y- axis in (time domain)"
14	LAYING	tBodyGyro-mean()-Z	"Subject # 14 while LAYING,Mean of body angular velocity for z- axis in (time domain)"
14	LAYING	tBodyGyro-std()-X	"Subject # 14 while LAYING,Standard deviation of body angular velocity for x- axis in (time domain)"
14	LAYING	tBodyGyro-std()-Y	"Subject # 14 while LAYING,Standard deviation of body angular velocity for y- axis in (time domain)"
14	LAYING	tBodyGyro-std()-Z	"Subject # 14 while LAYING,Standard deviation of body angular velocity for z- axis in (time domain)"
14	LAYING	tBodyGyroJerk-mean()-X	"Subject # 14 while LAYING,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
14	LAYING	tBodyGyroJerk-mean()-Y	"Subject # 14 while LAYING,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
14	LAYING	tBodyGyroJerk-mean()-Z	"Subject # 14 while LAYING,Mean of the  body angular velocity Jerk for Z- axis in (time domain)"
14	LAYING	tBodyGyroJerk-std()-X	"Subject # 14 while LAYING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (time domain)"
14	LAYING	tBodyGyroJerk-std()-Y	"Subject # 14 while LAYING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
14	LAYING	tBodyGyroJerk-std()-Z	"Subject # 14 while LAYING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
14	LAYING	tBodyAccMag-mean()	"Subject # 14 while LAYING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
14	LAYING	tBodyAccMag-std()	"Subject # 14 while LAYING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
14	LAYING	tGravityAccMag-mean()	"Subject # 14 while LAYING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
14	LAYING	tGravityAccMag-std()	"Subject # 14 while LAYING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
14	LAYING	tBodyAccJerkMag-mean()	"Subject # 14 while LAYING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
14	LAYING	tBodyAccJerkMag-std()	"Subject # 14 while LAYING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
14	LAYING	tBodyGyroMag-mean()	"Subject # 14 while LAYING,Mean of magnitute of measurements of body angular velocity in (time domain)"
14	LAYING	tBodyGyroMag-std()	"Subject # 14 while LAYING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
14	LAYING	tBodyGyroJerkMag-mean()	"Subject # 14 while LAYING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
14	LAYING	tBodyGyroJerkMag-std()	"Subject # 14 while LAYING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
14	LAYING	fBodyAcc-mean()-X	"Subject # 14 while LAYING,Mean of magnitute of measurements of Jerk  angular velocity in (frequency domain)"
14	LAYING	fBodyAcc-mean()-Y	"Subject # 14 while LAYING,Standard deviation of magnitute of measurements of Jerk angular velocity in (frequency domain)"
14	LAYING	fBodyAcc-mean()-Z	"Subject # 14 while LAYING,Mean of measurements of Body acceleration for  X axis  in (frequency domain)"
14	LAYING	fBodyAcc-std()-X	"Subject # 14 while LAYING,Mean of measurements of Body acceleration for  Y axis  in (frequency domain)"
14	LAYING	fBodyAcc-std()-Y	"Subject # 14 while LAYING,Mean of measurements of Body acceleration for  Z axis  in (frequency domain)"
14	LAYING	fBodyAcc-std()-Z	"Subject # 14 while LAYING,Standard deviation  of measurements of Body acceleration for  X axis  in (frequency domain)"
14	LAYING	fBodyAccJerk-mean()-X	"Subject # 14 while LAYING,Standard deviation  of measurements of Body acceleration for  Y axis  in (frequency domain)"
14	LAYING	fBodyAccJerk-mean()-Y	"Subject # 14 while LAYING,Standard deviation  of measurements of Body acceleration for  Z axis  in (frequency domain)"
14	LAYING	fBodyAccJerk-mean()-Z	"Subject # 14 while LAYING,Mean of measurements of   acceleration due to Gravity for  X axis  in (frequency domain)"
14	LAYING	fBodyAccJerk-std()-X	"Subject # 14 while LAYING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (frequency domain)"
14	LAYING	fBodyAccJerk-std()-Y	"Subject # 14 while LAYING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (frequency domain)"
14	LAYING	fBodyAccJerk-std()-Z	"Subject # 14 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (frequency domain)"
14	LAYING	fBodyGyro-mean()-X	"Subject # 14 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (frequency domain)"
14	LAYING	fBodyGyro-mean()-Y	"Subject # 14 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (frequency domain)"
14	LAYING	fBodyGyro-mean()-Z	"Subject # 14 while LAYING,Mean of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
14	LAYING	fBodyGyro-std()-X	"Subject # 14 while LAYING,Mean of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
14	LAYING	fBodyGyro-std()-Y	"Subject # 14 while LAYING,Mean of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
14	LAYING	fBodyGyro-std()-Z	"Subject # 14 while LAYING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
14	LAYING	fBodyAccMag-mean()	"Subject # 14 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
14	LAYING	fBodyAccMag-std()	"Subject # 14 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
14	LAYING	fBodyBodyAccJerkMag-mean()	"Subject # 14 while LAYING,Mean of body angular velocity for x- axis in (frequency domain)"
14	LAYING	fBodyBodyAccJerkMag-std()	"Subject # 14 while LAYING,Mean of body angular velocity for y- axis in (frequency domain)"
14	LAYING	fBodyBodyGyroMag-mean()	"Subject # 14 while LAYING,Mean of body angular velocity for z- axis in (frequency domain)"
14	LAYING	fBodyBodyGyroMag-std()	"Subject # 14 while LAYING,Standard deviation of body angular velocity for x- axis in (frequency domain)"
14	LAYING	fBodyBodyGyroJerkMag-mean()	"Subject # 14 while LAYING,Standard deviation of body angular velocity for y- axis in (frequency domain)"
14	LAYING	fBodyBodyGyroJerkMag-std()	"Subject # 14 while LAYING,Standard deviation of body angular velocity for z- axis in (frequency domain)"
15	WALKING	tBodyAcc-mean()-X	"Subject # 15 while WALKING,Mean of measurements of Body acceleration for  X axis  in (time domain)"
15	WALKING	tBodyAcc-mean()-Y	"Subject # 15 while WALKING,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
15	WALKING	tBodyAcc-mean()-Z	"Subject # 15 while WALKING,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
15	WALKING	tBodyAcc-std()-X	"Subject # 15 while WALKING,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
15	WALKING	tBodyAcc-std()-Y	"Subject # 15 while WALKING,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
15	WALKING	tBodyAcc-std()-Z	"Subject # 15 while WALKING,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
15	WALKING	tGravityAcc-mean()-X	"Subject # 15 while WALKING,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
15	WALKING	tGravityAcc-mean()-Y	"Subject # 15 while WALKING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
15	WALKING	tGravityAcc-mean()-Z	"Subject # 15 while WALKING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
15	WALKING	tGravityAcc-std()-X	"Subject # 15 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
15	WALKING	tGravityAcc-std()-Y	"Subject # 15 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
15	WALKING	tGravityAcc-std()-Z	"Subject # 15 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
15	WALKING	tBodyAccJerk-mean()-X	"Subject # 15 while WALKING,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
15	WALKING	tBodyAccJerk-mean()-Y	"Subject # 15 while WALKING,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
15	WALKING	tBodyAccJerk-mean()-Z	"Subject # 15 while WALKING,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
15	WALKING	tBodyAccJerk-std()-X	"Subject # 15 while WALKING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
15	WALKING	tBodyAccJerk-std()-Y	"Subject # 15 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
15	WALKING	tBodyAccJerk-std()-Z	"Subject # 15 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
15	WALKING	tBodyGyro-mean()-X	"Subject # 15 while WALKING,Mean of body angular velocity for x- axis in (time domain)"
15	WALKING	tBodyGyro-mean()-Y	"Subject # 15 while WALKING,Mean of body angular velocity for y- axis in (time domain)"
15	WALKING	tBodyGyro-mean()-Z	"Subject # 15 while WALKING,Mean of body angular velocity for z- axis in (time domain)"
15	WALKING	tBodyGyro-std()-X	"Subject # 15 while WALKING,Standard deviation of body angular velocity for x- axis in (time domain)"
15	WALKING	tBodyGyro-std()-Y	"Subject # 15 while WALKING,Standard deviation of body angular velocity for y- axis in (time domain)"
15	WALKING	tBodyGyro-std()-Z	"Subject # 15 while WALKING,Standard deviation of body angular velocity for z- axis in (time domain)"
15	WALKING	tBodyGyroJerk-mean()-X	"Subject # 15 while WALKING,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
15	WALKING	tBodyGyroJerk-mean()-Y	"Subject # 15 while WALKING,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
15	WALKING	tBodyGyroJerk-mean()-Z	"Subject # 15 while WALKING,Mean of the  body angular velocity Jerk for Z- axis in (time domain)"
15	WALKING	tBodyGyroJerk-std()-X	"Subject # 15 while WALKING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (time domain)"
15	WALKING	tBodyGyroJerk-std()-Y	"Subject # 15 while WALKING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
15	WALKING	tBodyGyroJerk-std()-Z	"Subject # 15 while WALKING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
15	WALKING	tBodyAccMag-mean()	"Subject # 15 while WALKING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
15	WALKING	tBodyAccMag-std()	"Subject # 15 while WALKING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
15	WALKING	tGravityAccMag-mean()	"Subject # 15 while WALKING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
15	WALKING	tGravityAccMag-std()	"Subject # 15 while WALKING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
15	WALKING	tBodyAccJerkMag-mean()	"Subject # 15 while WALKING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
15	WALKING	tBodyAccJerkMag-std()	"Subject # 15 while WALKING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
15	WALKING	tBodyGyroMag-mean()	"Subject # 15 while WALKING,Mean of magnitute of measurements of body angular velocity in (time domain)"
15	WALKING	tBodyGyroMag-std()	"Subject # 15 while WALKING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
15	WALKING	tBodyGyroJerkMag-mean()	"Subject # 15 while WALKING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
15	WALKING	tBodyGyroJerkMag-std()	"Subject # 15 while WALKING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
15	WALKING	fBodyAcc-mean()-X	"Subject # 15 while WALKING,Mean of the  body angular velocity Jerk for X- axis in (frequency domain)"
15	WALKING	fBodyAcc-mean()-Y	"Subject # 15 while WALKING,Mean of the  body angular velocity Jerk for Y- axis in (frequency domain)"
15	WALKING	fBodyAcc-mean()-Z	"Subject # 15 while WALKING,Mean of the  body angular velocity Jerk for Z- axis in (frequency domain)"
15	WALKING	fBodyAcc-std()-X	"Subject # 15 while WALKING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (frequency domain)"
15	WALKING	fBodyAcc-std()-Y	"Subject # 15 while WALKING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (frequency domain)"
15	WALKING	fBodyAcc-std()-Z	"Subject # 15 while WALKING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (frequency domain)"
15	WALKING	fBodyAccJerk-mean()-X	"Subject # 15 while WALKING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
15	WALKING	fBodyAccJerk-mean()-Y	"Subject # 15 while WALKING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
15	WALKING	fBodyAccJerk-mean()-Z	"Subject # 15 while WALKING,Mean of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
15	WALKING	fBodyAccJerk-std()-X	"Subject # 15 while WALKING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
15	WALKING	fBodyAccJerk-std()-Y	"Subject # 15 while WALKING,Mean of magnitute of measurements of Body kerk acceleration in (frequency domain)"
15	WALKING	fBodyAccJerk-std()-Z	"Subject # 15 while WALKING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (frequency domain)"
15	WALKING	fBodyGyro-mean()-X	"Subject # 15 while WALKING,Mean of magnitute of measurements of body angular velocity in (frequency domain)"
15	WALKING	fBodyGyro-mean()-Y	"Subject # 15 while WALKING,Standard deviation of magnitute of measurements of body angular velocity in (frequency domain)"
15	WALKING	fBodyGyro-mean()-Z	"Subject # 15 while WALKING,Mean of magnitute of measurements of Jerk  angular velocity in (frequency domain)"
15	WALKING	fBodyGyro-std()-X	"Subject # 15 while WALKING,Standard deviation of magnitute of measurements of Jerk angular velocity in (frequency domain)"
15	WALKING	fBodyGyro-std()-Y	"Subject # 15 while WALKING,Mean of measurements of Body acceleration for  X axis  in (frequency domain)"
15	WALKING	fBodyGyro-std()-Z	"Subject # 15 while WALKING,Mean of measurements of Body acceleration for  Y axis  in (frequency domain)"
15	WALKING	fBodyAccMag-mean()	"Subject # 15 while WALKING,Mean of measurements of Body acceleration for  Z axis  in (frequency domain)"
15	WALKING	fBodyAccMag-std()	"Subject # 15 while WALKING,Standard deviation  of measurements of Body acceleration for  X axis  in (frequency domain)"
15	WALKING	fBodyBodyAccJerkMag-mean()	"Subject # 15 while WALKING,Standard deviation  of measurements of Body acceleration for  Y axis  in (frequency domain)"
15	WALKING	fBodyBodyAccJerkMag-std()	"Subject # 15 while WALKING,Standard deviation  of measurements of Body acceleration for  Z axis  in (frequency domain)"
15	WALKING	fBodyBodyGyroMag-mean()	"Subject # 15 while WALKING,Mean of measurements of   acceleration due to Gravity for  X axis  in (frequency domain)"
15	WALKING	fBodyBodyGyroMag-std()	"Subject # 15 while WALKING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (frequency domain)"
15	WALKING	fBodyBodyGyroJerkMag-mean()	"Subject # 15 while WALKING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (frequency domain)"
15	WALKING	fBodyBodyGyroJerkMag-std()	"Subject # 15 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (frequency domain)"
15	WALKING_UPSTAIRS	tBodyAcc-mean()-X	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration for  X axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAcc-mean()-Y	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAcc-mean()-Z	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAcc-std()-X	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAcc-std()-Y	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAcc-std()-Z	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
15	WALKING_UPSTAIRS	tGravityAcc-mean()-X	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
15	WALKING_UPSTAIRS	tGravityAcc-mean()-Y	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
15	WALKING_UPSTAIRS	tGravityAcc-mean()-Z	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
15	WALKING_UPSTAIRS	tGravityAcc-std()-X	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
15	WALKING_UPSTAIRS	tGravityAcc-std()-Y	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
15	WALKING_UPSTAIRS	tGravityAcc-std()-Z	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAccJerk-mean()-X	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Y	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAccJerk-mean()-Z	"Subject # 15 while WALKING_UPSTAIRS,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAccJerk-std()-X	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAccJerk-std()-Y	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyAccJerk-std()-Z	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyro-mean()-X	"Subject # 15 while WALKING_UPSTAIRS,Mean of body angular velocity for x- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyro-mean()-Y	"Subject # 15 while WALKING_UPSTAIRS,Mean of body angular velocity for y- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyro-mean()-Z	"Subject # 15 while WALKING_UPSTAIRS,Mean of body angular velocity for z- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyro-std()-X	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation of body angular velocity for x- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyro-std()-Y	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation of body angular velocity for y- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyro-std()-Z	"Subject # 15 while WALKING_UPSTAIRS,Standard deviation of body angular velocity for z- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyroJerk-mean()-X	"Subject # 15 while WALKING_UPSTAIRS,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
15	WALKING_UPSTAIRS	tBodyGyroJerk-mean()-Y	"Subject # 15 while WALKING_UPSTAIRS,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
